City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,susuman,62.7833,148.1667,-32.23,100,94,1.34,RU,1709763892
250,la sarre,48.8002,-79.1996,-2.03,79,97,2.52,CA,1709763892
251,kharan,28.5833,65.4167,12.15,62,0,4.02,PK,1709763892
252,sant lluis,39.8526,4.2594,9.22,81,20,1.03,ES,1709763893
253,heyuan,23.7333,114.6833,13.18,80,99,1.76,CN,1709763893
254,tekirdag,40.978,27.5085,6.64,78,93,3.65,TR,1709763894
255,chifeng,42.2683,118.9636,-6.98,50,27,1.99,CN,1709763894
256,fukuecho,32.6881,128.8419,10.94,71,100,7.5,JP,1709763894
257,clearlake,38.9582,-122.6264,13.17,82,100,1.57,US,1709763895
258,toliara,-23.35,43.6667,25.69,91,100,4.65,MG,1709763895
259,manismata,-2.4667,111.0333,23.25,99,97,0.9,ID,1709763895
260,veshenskaya,49.6303,41.7334,-2.16,86,19,4.47,RU,1709763896
261,vila franca do campo,37.7167,-25.4333,12.23,67,97,10.48,PT,1709763896
262,boden,65.8252,21.6886,-2.0,100,100,1.31,SE,1709763896
263,bardsir,29.9227,56.5743,5.9,49,0,1.81,IR,1709763897
264,new castle,41.0037,-80.347,13.63,98,100,3.09,US,1709763897
265,noosa heads,-26.3833,153.15,24.63,76,36,6.02,AU,1709763897
266,parabel',58.6978,81.4825,-18.3,99,100,1.93,RU,1709763887
267,chupaca,-12.0667,-75.2833,16.72,63,100,1.55,PE,1709763898
268,labrador city,52.9463,-66.9114,-11.05,67,20,2.57,CA,1709763610
269,ishinomaki,38.4167,141.3,0.0,73,24,4.63,JP,1709763899
270,tindouf,27.6711,-8.1474,22.25,11,0,1.03,DZ,1709763899
271,fresnillo,23.1667,-102.8833,24.75,8,98,6.86,MX,1709763900
272,kosh-agach,50.0,88.6667,-18.72,78,65,0.45,RU,1709763900
273,balabac,7.9868,117.0645,26.73,79,87,3.14,PH,1709763900
274,peterhead,57.5058,-1.7981,6.22,80,94,7.15,GB,1709763901
275,carolina beach,34.0352,-77.8936,20.61,94,100,1.34,US,1709763901
276,dekalb,33.7504,-84.2333,16.77,85,75,6.17,US,1709763903
277,qamdo,31.1667,97.2333,-5.78,88,100,0.99,CN,1709763904
278,estreito,-5.7833,-43.25,24.33,92,100,1.47,BR,1709763904
279,crane,31.3974,-102.3501,25.47,20,97,3.74,US,1709763905
280,sisimiut,66.9395,-53.6735,-15.5,91,100,4.45,GL,1709763905
281,mananjary,-21.2167,48.3333,25.18,93,100,2.29,MG,1709763905
282,itapaci,-14.9508,-49.5494,23.38,90,42,0.77,BR,1709763906
283,batal,16.6875,121.6008,21.32,94,63,0.53,PH,1709763906
284,arraial do cabo,-22.9661,-42.0278,26.98,83,75,2.57,BR,1709763907
285,pangai,-19.8,-174.35,30.06,74,40,7.72,TO,1709763907
286,tromso,69.6496,18.957,1.01,86,40,3.09,NO,1709763907
287,mil'kovo,55.6078,37.7956,-9.73,99,84,1.45,RU,1709763908
288,singaparna,-7.3515,108.111,23.34,96,100,0.62,ID,1709763908
289,kirakira,-10.4544,161.9205,28.49,83,100,3.51,SB,1709763880
290,saint-georges,12.0564,-61.7485,26.59,76,0,6.74,GD,1709763909
291,egersund,58.4513,5.9997,3.38,79,100,4.56,NO,1709763909
292,nagqu,31.5,92.0,-8.52,39,82,3.15,CN,1709763910
293,sao lourenco do sul,-31.3653,-51.9783,19.68,67,1,4.09,BR,1709763910
294,sinop,41.7711,34.8709,4.98,95,100,2.6,TR,1709763654
295,nova sintra,14.8667,-24.7167,19.49,74,6,10.11,CV,1709763911
296,acarau,-2.8856,-40.12,26.69,85,99,4.78,BR,1709763911
297,saipan,15.1355,145.701,27.39,74,0,4.12,MP,1709763912
298,tianpeng,30.9866,103.9393,8.26,78,97,0.83,CN,1709763912
299,devon,50.75,-3.75,8.16,94,50,4.61,GB,1709763913
300,la passe,45.5549,-0.8967,7.23,92,31,4.26,FR,1709763913
301,forde,61.4522,5.8572,4.0,93,75,0.0,NO,1709763914
302,port alfred,-33.5906,26.891,20.1,88,89,0.89,ZA,1709763914
303,pacific grove,36.6177,-121.9166,15.68,83,100,2.68,US,1709763915
304,touros,-5.1989,-35.4608,27.47,80,100,3.97,BR,1709763916
305,stung treng,13.5259,105.9683,25.5,64,2,1.56,KH,1709763917
306,recani,31.2846,-4.2688,17.35,20,32,4.12,MA,1709763917
307,papao,-17.75,-149.55,29.82,80,100,4.85,PF,1709763918
308,malango,-2.9627,119.9001,20.3,96,100,0.95,ID,1709763884
309,kronstadt,45.6486,25.6061,5.39,66,99,2.24,RO,1709763919
310,port elizabeth,-33.918,25.5701,19.06,89,20,2.57,ZA,1709763919
311,askiz,53.1319,90.5264,-11.84,89,98,2.03,RU,1709763920
312,el granada,37.5027,-122.4694,16.08,84,40,5.66,US,1709763921
313,uacu cungo,-11.3634,15.1208,18.32,95,94,0.8,AO,1709763921
314,ketchikan,55.3422,-131.6461,1.99,86,100,7.2,US,1709763922
315,mersing,2.4312,103.8405,24.95,94,40,2.06,MY,1709763922
316,puerto deseado,-47.7503,-65.8938,14.65,47,33,4.28,AR,1709763706
317,saint-pierre,-21.3393,55.4781,23.82,78,20,2.57,RE,1709763923
318,san antonio de pale,-1.4014,5.6325,28.65,78,97,5.05,GQ,1709763923
319,kollam,8.8833,76.6,25.12,87,78,3.41,IN,1709763923
320,tsiombe,-25.3,45.4833,23.5,99,100,2.05,MG,1709763924
321,george town,5.4112,100.3354,27.96,88,40,1.54,MY,1709763924
322,salinopolis,-0.6136,-47.3561,26.94,85,88,4.59,BR,1709763925
323,korfovskiy,48.2183,135.0564,-16.3,98,73,1.29,RU,1709763925
324,geraldton,-28.7667,114.6,27.23,57,0,9.26,AU,1709763916
325,inhambane,-23.865,35.3833,26.28,93,22,3.05,MZ,1709763926
326,gornyatskiy,48.2915,40.9575,-1.72,85,66,4.49,RU,1709763926
327,ampanihy,-24.7,44.75,23.48,94,100,3.44,MG,1709763926
328,robore,-18.3333,-59.75,31.35,50,80,0.99,BO,1709763927
329,lukolela,-1.0605,17.1821,23.07,95,93,3.04,CD,1709763927
330,usogorsk,63.4106,48.6872,-3.94,96,100,3.17,RU,1709763928
331,maputo,-25.9653,32.5892,23.98,83,33,4.46,MZ,1709763928
332,afaahiti,-17.75,-149.2833,28.93,81,100,5.22,PF,1709763928
333,kayangel,8.0823,134.7173,27.83,65,80,4.31,PW,1709763929
334,mejit,10.2753,170.8646,26.55,80,100,10.59,MH,1709763868
335,novyy urgal,51.0736,132.5642,-27.66,100,93,0.59,RU,1709763930
336,mar del plata,-38.0023,-57.5575,22.75,60,0,3.58,AR,1709763895
337,vicuna,-30.0319,-70.7081,14.85,46,0,2.75,CL,1709763931
338,roma,43.2128,-75.4557,10.32,99,100,0.0,US,1709763931
339,qaqortoq,60.7167,-46.0333,-9.02,88,100,0.48,GL,1709763932
340,bubaque,11.2833,-15.8333,26.1,69,12,9.75,GW,1709763932
341,barah,13.7,30.3667,23.08,10,32,5.84,SD,1709763933
342,kargasok,59.0556,80.8572,-24.46,100,69,1.34,RU,1709763893
343,midvagur,62.0511,-7.1939,6.46,81,75,6.69,FO,1709763934
344,ambodifotatra,-16.9833,49.85,26.87,82,97,0.78,MG,1709763934
345,yatou,37.15,122.3833,-0.88,65,50,3.82,CN,1709763935
346,cherdyn',60.403,56.4787,-21.66,100,96,0.98,RU,1709763935
347,phan rang-thap cham,11.5667,108.9833,22.89,95,72,0.28,VN,1709763935
348,arraias,-12.9288,-46.9437,23.45,86,95,1.31,BR,1709763936
349,port saint john's,-31.6229,29.5448,21.13,76,55,1.81,ZA,1709763936
350,twon-brass,4.3151,6.2418,28.26,83,95,5.76,NG,1709763936
351,pago pago,-14.2781,-170.7025,30.55,79,40,4.12,AS,1709763937
352,conde,-7.2597,-34.9075,26.7,89,20,2.06,BR,1709763937
353,orizona,-17.0314,-48.2958,22.81,84,94,1.63,BR,1709763938
354,markaz-e hukumat-e darweshan,31.1323,64.1934,9.19,71,0,3.15,AF,1709763938
355,cole harbour,44.6724,-63.4751,8.85,89,100,2.24,CA,1709763938
356,praia da vitoria,38.7333,-27.0667,11.14,76,75,12.02,PT,1709763875
357,eyl,7.9803,49.8164,25.67,86,0,3.36,SO,1709763939
